Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Цимбалюк;Маруся;Юріївна;female;1969-05-14;Художник;село Лохвиця;проспект Миколи Гумільова, буд. 17, Сімферополь, 47980;042 217 94 63;shaidenko@example.org
Колесниченко;Іван;Юрійович;male;1974-01-26;Краєзнавець;хутір Куп'янськ;площа Станційна 3-тя, буд. 71 кв. 4, Харків, 07856;507 20 90;mvalenko@example.com
Ващенко;Ярослава;Юріївна;female;1939-10-05;Бізнесмен;місто Рубіжне;набережна Курганська, буд. 240, Вознесенівка, 48803;+380 69 962-90-43;artymyshynvadym@example.net
Абрагамовська;Марта;Євгенівна;female;1955-09-17;Дипломат;хутір Петрово-Красносілля;вулиця Басейний 3-й, буд. 51, Покровськ, 42941;047 691 30 69;ikhudiak@example.net
Бевзенко;Віталій;Дмитрович;male;1983-02-11;Фотограф;селище Узин;вулиця 12-та ст. Великого Фонтану пляж, буд. 8, Токмак, 01616;618-23-03;kabanenkoliliia@example.com
Василечко;Панас;Миколайович;male;1953-05-15;Ріелтор;село Родинське;набережна Ракетна, буд. 36 кв. 360, Чугуїв, 12856;158 99 76;ltymchenko@example.org
Штепа;Герман;Володимирович;male;1972-08-28;Шериф;селище Сєвєродонецьк;набережна Технічний, буд. 31 кв. 2, Турка, 39111;+380 (33) 436-78-04;ptereshchenko@example.org
Цюпа;Лариса;Олександрівна;female;2004-10-20;Фотограф;селище Хорол ;парк Дачний 1-й, буд. 1 кв. 11, Новогродівка, 24870;050 674-40-76;ada20@example.org
Андріїшин;Галина;Романівна;female;1992-12-18;Будник;хутір Бердичів;вулиця Шевченка парк, буд. 3 кв. 66, Новодружеськ, 35971;058 69 06;dankivdaryna@example.net
Андрійчук;Богуслава;Миколаївна;female;1980-04-02;Петрограф;село Кремінна;проспект Грузовий, буд. 6, Сватове, 17333;829-00-00;zharkookhrim@example.org
Конопленко;Іван;Андрійович;male;1944-06-06;Кінорежисер;хутір Буськ;узвіз Мічуріна, буд. 82, Заставна, 34668;+380 19 049 93 55;verkhovynetsivan@example.net
Франчук;Емілія;Богданівна;female;1958-06-07;Антрополог;хутір Трускавець;площа Сливова, буд. 25, Сіверськ, 07349;031 964 76 57;drobiazkomarusia@example.net
Каденюк;Анжела;Миколаївна;female;1949-05-21;Фотограф;місто Львів;провулок Партизанська, буд. 599 кв. 9, Дружба , 10757;+380 (73) 448-04-82;zhaivoronamaliia@example.org
Парасюк;Пармен;Іванович;male;1975-09-12;Водій;селище Золочів;сквер Деволанівська, буд. 15 кв. 43, Карлівка, 08634;414 47 44;vashchukmyroslav@example.net
Андрощук;Спас;Романович;male;1996-03-15;Машиніст;селище Пустомити;проспект Ковалевського узвіз, буд. 90 кв. 6, Алчевськ, 76146;+380 15 613 47 66;hryhorii24@example.net
Малик;Ростислав;Романович;male;1967-09-11;Філолог;місто Суми;шосе Жаботинського, буд. 0, Географія Вільнянська, 75828;075 755 75 77;bdziuba@example.net
Штепа;Олена;Олександрівна;female;1961-11-12;Кінорежисер;місто Буринь;сквер Академіка Вільямса, буд. 5 кв. 2, Хрустальний, 83362;325-81-63;artymdan@example.com
Баранник;Маруся;Євгенівна;female;2005-10-29;Режисер;село Бурштин ;площа Індійська, буд. 3 кв. 845, Чорноморськ, 58441;+380 69 336-27-27;romanchukrostyslav@example.net
Верхола;Богданна;Петрівна;female;1949-09-13;Кінолог;селище Глиняни;вулиця Десята, буд. 38 кв. 8, Добромиль, 57335;008 531 65 14;stepan30@example.org
Бабʼюк;Одарка;Олегівна;female;1965-08-18;Фрілансер;хутір Макіївка;провулок Старицького, буд. 837 кв. 51, Суми, 73158;017 291 73 69;konoplenkotereza@example.net
Кабаненко;Устим;Степанович;male;1981-05-05;Акушер;село Єнакієве;проспект Дорожня, буд. 267, Дебальцеве, 85779;972 51 30;orkhyphavrylenko@example.net
Сірко;Анастасія;Василівна;female;1956-11-27;Скульптор;хутір Васильків;площа ПшеничнаРадищева, буд. 136, Біла Церква, 28727;+380 31 591-87-65;baleksiuk@example.com
Сич;Костянтин;Миколайович;male;1998-06-22;Дипломат;місто Шахтарськ;проспект Кісельова Ігоря, буд. 3, Надвірна, 87104;079 653 01 89;alla41@example.org
Зайченко;Святослав;Сергійович;male;1980-05-11;Антрополог;місто Ічня;площа Волоколамська, буд. 36 кв. 792, Калуш, 49252;080 021 70 38;ysalii@example.org
Єресько;Едита;Анатоліївна;female;1975-01-25;Вчитель;хутір Верхівцеве;узвіз Пісочний, буд. 08, Обухів, 46040;+380 (08) 619-96-56;bandriichuk@example.com
Полтавець;Сніжана;Сергіївна;female;1993-01-06;Реставратор;хутір Ланівці;провулок Штурвальна, буд. 3 кв. 8, Петрово-Красносілля, 81083;+380 (61) 646-91-17;varfolomii89@example.com
Христенко;Наталія;Петрівна;female;1980-12-05;Фармацевт;село Тисмениця;площа Рівний, буд. 318 кв. 74, Кролевець, 54866;+380 39 333-31-76;vbabiak@example.org
Щириця;Варфоломій;Вікторович;male;1941-08-27;Намотувальник;місто Рожище;узвіз Складська, буд. 12 кв. 744, Жашків, 07351;025-37-92;khoma26@example.net
Туркало;Аніта;Юріївна;female;1967-07-04;Зоолог;місто Сокиряни;набережна Керченський 3-й, буд. 714, Красноград, 86140;+380 11 221 83 32;whavriushenko@example.org
Бараник;Галина;Вікторівна;female;1957-12-13;Мікробіолог;хутір Городище ;вулиця Тінистий, буд. 471, Винники, 20330;075 023-97-35;somkoirena@example.net
Пелех;Христина;Іллівна;female;1996-10-18;Геолог;селище Білицьке;вулиця Ляпунова, буд. 284, Заліщики, 88572;068 111 42 45;pavlo86@example.net
Колесниченко;Аркадій;Васильович;male;1963-03-05;Піаніст;хутір Перечин;сквер Лермонтовський, буд. 39, Славута, 05044;+380 (62) 560-21-56;zlatoslavakozachenko@example.org
Канівець;Теодор;Андрійович;male;1957-11-11;Адвокат;селище Зіньків;сквер Соляний 3-й, буд. 320 кв. 9, Яворів, 86934;+380 (72) 125-10-51;tymchuksofiia@example.org
Устенко;Віолетта;Андріївна;female;1993-05-23;Медик;хутір Новомосковськ;площа Юхима Геллера, буд. 44, Костянтинівка, 90791;+380 49 675-79-55;omelian28@example.com
Баранець;Альберт;Миколайович;male;1952-02-08;Патологоанатом;село Часів Яр;узвіз Кладовищний, буд. 66 кв. 0, Каховка, 05825;+380 60 572-99-08;mdashkevych@example.com
Каденюк;Тимофій;Андрійович;male;1999-05-14;Кінокритик;село Пирятин;сквер Центральна, буд. 0, Одеса, 59209;+380 85 098-15-60;artiukholeh@example.org
Мазур;Теодор;Анатолійович;male;1970-08-01;Бухгалтер;місто Олександрівськ;проспект Політкаторжан, буд. 095, Кам'янка (Черкаська область), 69852;618 33 11;talanandrii@example.com
Якимчук;Сніжана;Іллівна;female;1950-12-29;Історик;хутір Кременець;набережна Дунаєвського 2-й, буд. 33 кв. 49, Тараща, 12551;+380 (11) 717-93-40;ievtushenkoiakiv@example.com
Зінченко;Єлисавета;Анатоліївна;female;1956-03-04;Історик;місто Вільнянськ;провулок Поїзна, буд. 0, Свалява, 52306;+380 65 330-69-67;bezditkohlib@example.org
Гоголь;Петро;Васильович;male;1974-03-20;Державний службовець;місто Тисмениця;вулиця Восьмого березня 1-й, буд. 4, Скалат, 05264;+380 90 695-69-81;makar09@example.org
